Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 11/19  10:00:00,12.925,38.623014025602447,41.59857154514596,12.398990355300054,43.35472990577088,0.0,0.0,0.0,0.0 
 11/19  11:00:00,14.350000000000002,38.49529583100809,43.766076508449497,12.403228522330249,44.38374631269798,0.0,0.0,0.0,0.0 
 11/19  12:00:00,15.175,36.25229859737317,41.21037511751439,12.404136042323057,41.22746548776472,0.0,0.0,0.0,0.0 
 11/19  13:00:00,16.212500000000003,34.32582715960473,38.280444043909557,12.401355933265164,37.91529037796958,0.0,0.0,0.0,0.0 
 11/19  14:00:00,16.45,32.4093276201136,37.61721322147971,12.40291873309613,36.26713571502229,0.0,0.0,0.0,0.0 
 11/19  15:00:00,15.9875,25.053690206941917,33.486810859750217,12.400192795790156,30.875649843280699,0.0,0.0,0.0,0.0 
 11/19  16:00:00,14.8625,18.590001123988633,24.94313839043637,12.400001062636202,22.700598139806894,0.0,0.0,0.0,0.0 
 11/19  17:00:00,12.9875,13.935546161037046,16.356591107791926,12.40000030856202,15.576689031410212,0.0,0.0,21789.884577516936,0.0 
 11/19  18:00:00,9.8875,11.154028177094553,10.86580830751312,12.399998100121337,10.524562029595815,0.0,0.0,318740.6391820587,0.0 
 11/19  19:00:00,6.437499999999999,9.085068366601189,7.315829139825411,12.399996899876128,7.025089461522176,0.0,0.0,615119.5551344655,0.0 
 11/19  20:00:00,3.575,7.78090087657737,4.7540043817023449,12.399992207004173,4.47403903514534,0.0,0.0,892394.0381434416,0.0 
 11/19  21:00:00,2.4125,7.6681172716409959,3.443017575735663,12.399999999966836,3.180872143318108,0.0,0.0,1154122.095757265,0.0 
 11/19  22:00:00,2.3,7.834767717751777,3.2765729891425199,12.400000000000091,3.036593229676649,0.0,0.0,1234262.6910737304,0.0 
 11/19  23:00:00,0.7999999999999999,5.512305066037166,2.066836817093299,12.399945829487486,1.8294765435982368,0.0,0.0,995439.0446936747,0.0 
 11/19  24:00:00,-0.8500000000000001,2.633788470215902,0.1263089626087238,12.400487964247326,-0.11686043774004083,0.0,0.0,877526.7310546641,0.0 
 11/20  01:00:00,-2.1750000000000004,1.5605828638005799,-1.267308081747792,12.400000000023163,-1.5060643339382143,0.0,0.0,959109.9175456098,0.0 
 11/20  02:00:00,-3.0125,1.1346302502022992,-2.124447598514845,12.40000000000008,-2.349852369611705,0.0,0.0,1062747.969812733,0.0 
 11/20  03:00:00,-3.325,0.9781582532727726,-2.504465138188971,12.400000000000066,-2.715798095281639,0.0,0.0,1132607.2811307796,0.0 
 11/20  04:00:00,-4.2749999999999999,0.4862118963071533,-3.173607687674376,12.400000000000088,-3.376604173995595,0.0,0.0,1202539.243939726,0.0 
 11/20  05:00:00,-5.425,-0.18321359673386373,-4.140461369723612,12.400000000000074,-4.335701585883324,0.0,0.0,1312460.1829700364,0.0 
 11/20  06:00:00,-5.925,7.505614420613407,3.706576032453004,12.399731626072097,4.78288968916304,0.0,0.0,1104224.455135443,0.0 
 11/20  07:00:00,-3.0625,17.208006406665178,12.969495119791859,12.399602609190965,15.18222013305875,0.0,0.0,616297.8979532395,0.0 
 11/20  08:00:00,3.075,27.581415265372799,25.2558342266992,12.398576509050555,27.932212752034233,0.0,0.0,129194.14433027822,0.0 
 11/20  09:00:00,8.3875,35.31151347891347,35.402146634310728,12.397054028535507,38.06533164822655,0.0,0.0,0.0,0.0 
 11/20  10:00:00,11.6875,37.8727438408191,40.55619622619035,12.399530642228786,42.317970148756618,0.0,0.0,0.0,0.0 
 11/20  11:00:00,13.7,35.04385510025624,40.84721876689341,12.402827073005277,41.446435236150879,0.0,0.0,0.0,0.0 
 11/20  12:00:00,15.05,31.32062673598246,40.0438494856776,12.401283983180939,39.9746419254047,0.0,0.0,0.0,0.0 
 11/20  13:00:00,16.0625,30.057421071425467,37.76939127780465,12.400195342726893,36.78087357210751,0.0,0.0,0.0,0.0 
 11/20  14:00:00,16.15,27.413470366285684,36.14825171787507,12.400000126541253,33.621668494930037,0.0,0.0,0.0,0.0 
 11/20  15:00:00,15.624999999999999,23.22923612753976,32.022196000026799,12.400001365078265,28.70938073689507,0.0,0.0,0.0,0.0 
 11/20  16:00:00,14.337499999999999,17.813612074661309,23.561065835219357,12.400001361911033,21.68484515203536,0.0,0.0,0.0,0.0 
 11/20  17:00:00,11.8875,13.220578851714537,14.741561003169043,12.399999783244704,14.129900659747762,0.0,0.0,124908.20288041531,0.0 
 11/20  18:00:00,8.6125,10.809204294000053,9.646429534925393,12.399999246112956,9.274892076417198,0.0,0.0,539284.7986474035,0.0 
 11/20  19:00:00,5.299999999999999,8.935365716307988,6.330808877881663,12.399998805826956,5.98881220159091,0.0,0.0,861347.1613626775,0.0 
 11/20  20:00:00,2.9124999999999998,7.855296262518366,4.160057906341513,12.4000016783848,3.831462012521351,0.0,0.0,1122999.2169930768,0.0 
 11/20  21:00:00,1.325,6.959164238194255,2.699932778602387,12.400000000000297,2.386084598531078,0.0,0.0,1245650.6010865388,0.0 
 11/20  22:00:00,0.42500000000000007,6.2672448614944209,1.6629530608813219,12.400000000000113,1.362374580826339,0.0,0.0,1306847.9490039275,0.0 
 11/20  23:00:00,-1.1124999999999999,3.4354445309336625,0.377908697851405,12.401146696650946,0.08167116797486296,0.0,0.0,1051562.0962687652,0.0 
 11/20  24:00:00,-2.0875,1.7369121052857218,-1.0873271789719017,12.40050593701631,-1.3862166334764046,0.0,0.0,1053496.4106458405,0.0 
 11/21  01:00:00,-2.7,1.5346775086986558,-1.540600677352237,12.400000000132648,-1.816210996726853,0.0,0.0,1131852.5254933246,0.0 
 11/21  02:00:00,-3.625,1.1340597315335675,-2.289185174941705,12.400000000000122,-2.5506635439576614,0.0,0.0,1221910.7201518319,0.0 
