"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486630, LBL: Pared sur)","Temp, °C (SEN S/N: 20486630, LBL: Pared oeste)","Temp, °C (SEN S/N: 20486630, LBL: Pared norte)","Temp1 Max, °C","Temp1 Min, °C"
12/24/20 01:45:00,5.915,4.603,5.720,,
12/24/20 02:00:00,5.883,4.603,5.720,7.044,6.723
12/24/20 02:15:00,5.763,4.540,5.642,,
12/24/20 02:30:00,5.653,4.425,5.529,,
12/24/20 02:45:00,5.536,4.322,5.342,,
12/24/20 03:00:00,5.350,4.172,5.074,6.463,6.382
12/24/20 03:15:00,5.295,4.118,5.060,,
12/24/20 03:30:00,5.287,4.102,5.115,,
12/24/20 03:45:00,5.282,4.084,5.131,,
12/24/20 04:00:00,5.271,4.069,5.150,6.377,6.314
12/24/20 04:15:00,5.269,4.072,5.161,,
12/24/20 04:30:00,5.271,4.072,5.129,,
12/24/20 04:45:00,5.274,4.079,5.124,,
12/24/20 05:00:00,5.272,4.099,5.140,6.310,6.298
12/24/20 05:15:00,5.250,4.104,5.139,,
12/24/20 05:30:00,5.229,4.107,5.144,,
12/24/20 05:45:00,5.224,4.110,5.153,,
12/24/20 06:00:00,5.242,4.130,5.181,6.595,6.322
12/24/20 06:15:00,5.305,4.187,5.282,,
12/24/20 06:30:00,5.372,4.265,5.412,,
12/24/20 06:45:00,5.441,4.337,5.518,,
12/24/20 07:00:00,5.642,4.436,5.663,8.369,6.772
12/24/20 07:15:00,6.110,4.624,5.949,,
12/24/20 07:30:00,6.699,4.911,6.387,,
12/24/20 07:45:00,7.425,5.247,6.786,,
12/24/20 08:00:00,7.671,5.536,7.140,10.475,8.692
12/24/20 08:15:00,7.782,5.784,7.500,,
12/24/20 08:30:00,8.288,6.132,8.004,,
12/24/20 08:45:00,8.956,6.472,8.260,,
12/24/20 09:00:00,9.820,6.804,8.723,11.605,9.558
12/24/20 09:15:00,9.978,7.063,8.882,,
12/24/20 09:30:00,9.304,6.883,8.196,,
12/24/20 09:45:00,8.900,6.723,7.959,,
12/24/20 10:00:00,9.032,6.780,8.135,10.797,9.472
12/24/20 10:15:00,9.390,7.051,8.678,,
12/24/20 10:30:00,9.990,7.545,9.410,,
12/24/20 10:45:00,9.978,7.729,9.461,,
12/24/20 11:00:00,9.526,7.690,9.344,11.371,10.274
12/24/20 11:15:00,9.584,7.768,9.569,,
12/24/20 11:30:00,10.439,8.120,10.394,,
12/24/20 11:45:00,10.910,8.409,10.945,,
12/24/20 12:00:00,11.230,8.878,11.327,12.334,11.645
12/24/20 12:15:00,11.943,9.506,11.997,,
12/24/20 12:30:00,12.039,9.700,12.054,,
12/24/20 12:45:00,11.975,9.725,11.978,,
12/24/20 13:00:00,12.075,9.984,12.109,12.384,12.295
12/24/20 13:15:00,12.308,10.441,12.403,,
12/24/20 13:30:00,12.385,10.683,12.550,,
12/24/20 13:45:00,12.379,10.721,12.607,,
12/24/20 14:00:00,12.340,10.672,12.553,12.283,11.857
12/24/20 14:15:00,12.122,10.322,12.289,,
12/24/20 14:30:00,11.847,9.989,12.092,,
12/24/20 14:45:00,11.437,9.577,11.724,,
12/24/20 15:00:00,10.722,8.998,10.971,11.303,9.935
12/24/20 15:15:00,10.136,8.433,10.311,,
12/24/20 15:30:00,9.580,7.970,9.781,,
12/24/20 15:45:00,8.843,7.534,9.453,,
12/24/20 16:00:00,8.456,7.324,9.401,9.761,9.233
12/24/20 16:15:00,8.286,7.198,9.333,,
12/24/20 16:30:00,8.148,7.066,9.148,,
12/24/20 16:45:00,8.012,6.908,8.961,,
12/24/20 17:00:00,7.879,6.766,8.792,9.086,8.601
12/24/20 17:15:00,7.763,6.634,8.627,,
12/24/20 17:30:00,7.644,6.479,8.416,,
12/24/20 17:45:00,7.530,6.360,8.234,,
12/24/20 18:00:00,7.355,6.229,8.006,8.341,7.281
12/24/20 18:15:00,6.960,6.021,7.632,,
12/24/20 18:30:00,6.666,5.840,7.379,,
12/24/20 18:45:00,6.434,5.695,7.171,,
12/24/20 19:00:00,6.282,5.600,7.037,7.078,6.761
12/24/20 19:15:00,6.190,5.541,6.949,,
12/24/20 19:30:00,6.131,5.491,6.870,,
12/24/20 19:45:00,6.054,5.407,6.747,,
12/24/20 20:00:00,5.926,5.280,6.560,6.571,6.166
12/24/20 20:15:00,5.771,5.147,6.374,,
12/24/20 20:30:00,5.659,5.042,6.205,,
12/24/20 20:45:00,5.655,5.006,6.201,,
12/24/20 21:00:00,5.608,4.964,6.190,6.139,5.982
12/24/20 21:15:00,5.542,4.919,6.134,,
12/24/20 21:30:00,5.480,4.876,6.062,,
12/24/20 21:45:00,5.375,4.799,5.934,,
12/24/20 22:00:00,5.185,4.634,5.653,5.768,5.317
12/24/20 22:15:00,5.035,4.486,5.454,,
12/24/20 22:30:00,4.866,4.330,5.234,,
12/24/20 22:45:00,4.764,4.223,5.140,,
12/24/20 23:00:00,4.707,4.153,5.089,5.266,4.948
12/24/20 23:15:00,4.660,4.094,5.006,,
12/24/20 23:30:00,4.590,4.032,4.905,,
12/24/20 23:45:00,4.464,3.933,4.720,,
12/25/20 00:00:00,4.358,3.827,4.589,4.822,4.683
12/25/20 00:15:00,4.309,3.763,4.566,,
12/25/20 00:30:00,4.260,3.706,4.532,,
12/25/20 00:45:00,4.218,3.661,4.516,,
12/25/20 01:00:00,4.245,3.679,4.589,4.706,4.542
12/25/20 01:15:00,4.257,3.679,4.610,,
12/25/20 01:30:00,4.206,3.604,4.529,,
12/25/20 01:45:00,4.123,3.513,4.441,,
12/25/20 02:00:00,4.077,3.459,4.412,4.480,4.389
12/25/20 02:15:00,4.041,3.403,4.384,,
12/25/20 02:30:00,4.022,3.386,4.403,,
12/25/20 02:45:00,3.994,3.383,4.387,,
12/25/20 03:00:00,3.925,3.352,4.322,4.322,4.164
12/25/20 03:15:00,3.888,3.325,4.281,,
12/25/20 03:30:00,3.837,3.267,4.195,,
12/25/20 03:45:00,3.753,3.152,4.058,,
12/25/20 04:00:00,3.656,3.029,3.953,4.139,4.058
12/25/20 04:15:00,3.612,2.993,3.955,,
12/25/20 04:30:00,3.636,3.022,4.007,,
12/25/20 04:45:00,3.661,3.052,4.030,,
12/25/20 05:00:00,3.681,3.077,4.045,4.379,4.179
12/25/20 05:15:00,3.717,3.110,4.086,,
12/25/20 05:30:00,3.770,3.155,4.149,,
12/25/20 05:45:00,3.881,3.241,4.299,,
12/25/20 06:00:00,4.048,3.381,4.535,6.177,4.547
12/25/20 06:15:00,4.294,3.576,4.879,,
12/25/20 06:30:00,4.733,3.868,5.298,,
12/25/20 06:45:00,5.517,4.206,5.722,,
12/25/20 07:00:00,6.001,4.493,6.019,7.804,6.791
12/25/20 07:15:00,6.196,4.733,6.250,,
12/25/20 07:30:00,6.417,4.974,6.487,,
12/25/20 07:45:00,6.985,5.251,6.819,,
12/25/20 08:00:00,7.990,5.552,7.201,11.564,9.311
12/25/20 08:15:00,8.293,5.803,7.415,,
12/25/20 08:30:00,9.370,6.056,7.470,,
12/25/20 08:45:00,10.024,6.307,7.771,,
12/25/20 09:00:00,10.756,6.664,8.266,13.652,12.426
12/25/20 09:15:00,10.791,6.881,8.507,,
12/25/20 09:30:00,10.925,7.168,8.846,,
12/25/20 09:45:00,11.221,7.545,9.407,,
12/25/20 10:00:00,11.272,7.781,9.715,14.505,13.407
12/25/20 10:15:00,11.289,7.962,9.897,,
12/25/20 10:30:00,11.715,8.363,10.696,,
12/25/20 10:45:00,12.027,8.706,11.108,,
12/25/20 11:00:00,12.168,8.830,11.336,14.414,13.742
12/25/20 11:15:00,12.098,8.847,11.402,,
12/25/20 11:30:00,12.115,8.945,11.523,,
12/25/20 11:45:00,12.346,9.251,11.783,,
12/25/20 12:00:00,12.634,9.478,12.137,14.050,13.841
