"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20664779, LBL: Pared Sur)","Temp, °C (SEN S/N: 20664779, LBL: Pared Oeste)","Temp, °C (SEN S/N: 20664779, LBL: Ventana)","Temp, °C (SEN S/N: 20664779, LBL: Piso)"
02/19/23 23:10:00,15.827,17.571,12.755,14.307
02/19/23 23:25:00,15.681,17.524,12.631,14.298
02/19/23 23:40:00,15.546,17.477,12.343,14.283
02/19/23 23:55:00,15.400,17.403,12.068,14.267
02/20/23 00:10:00,15.255,17.341,11.828,14.253
02/20/23 00:25:00,15.160,17.339,11.778,14.246
02/20/23 00:40:00,15.052,17.308,11.772,14.243
02/20/23 00:55:00,14.945,17.283,11.709,14.240
02/20/23 01:10:00,14.819,17.234,11.526,14.318
02/20/23 01:25:00,14.668,17.158,11.356,14.286
02/20/23 01:40:00,14.527,17.095,11.213,14.258
02/20/23 01:55:00,14.408,17.048,11.053,14.238
02/20/23 02:10:00,14.286,16.996,10.957,14.250
02/20/23 02:25:00,14.150,16.921,10.707,14.214
02/20/23 02:40:00,14.015,16.853,10.620,14.168
02/20/23 02:55:00,13.876,16.769,10.475,14.120
02/20/23 03:10:00,13.735,16.688,10.306,14.084
02/20/23 03:25:00,13.596,16.609,10.144,14.039
02/20/23 03:40:00,13.460,16.530,9.990,13.999
02/20/23 03:55:00,13.306,16.438,9.888,13.958
02/20/23 04:10:00,13.157,16.344,9.725,13.916
02/20/23 04:25:00,13.004,16.242,9.580,13.873
02/20/23 04:40:00,12.855,16.146,9.353,13.838
02/20/23 04:55:00,12.698,16.032,9.046,13.485
02/20/23 05:10:00,12.607,16.019,9.002,13.778
02/20/23 05:25:00,12.275,15.730,8.503,11.517
02/20/23 05:40:00,11.862,15.320,8.068,11.983
02/20/23 05:55:00,11.752,15.267,8.179,12.853
02/20/23 06:10:00,11.636,15.202,8.268,13.154
02/20/23 06:25:00,11.535,15.142,8.465,13.318
02/20/23 06:40:00,11.440,15.091,8.844,13.425
02/20/23 06:55:00,11.352,15.036,9.392,13.524
02/20/23 07:10:00,11.269,14.966,9.989,13.622
02/20/23 07:25:00,11.177,14.888,10.603,13.619
02/20/23 07:40:00,11.114,14.821,11.260,13.589
02/20/23 07:55:00,11.078,14.770,11.942,13.592
02/20/23 08:10:00,11.070,14.731,12.654,13.605
02/20/23 08:25:00,11.085,14.705,13.365,13.642
02/20/23 08:40:00,11.126,14.689,14.081,13.676
02/20/23 08:55:00,11.189,14.673,14.747,13.709
02/20/23 09:10:00,11.272,14.668,15.429,13.756
02/20/23 09:25:00,11.373,14.667,16.137,13.802
02/20/23 09:40:00,11.510,14.689,16.829,13.873
02/20/23 09:55:00,11.661,14.722,17.390,13.951
02/20/23 10:10:00,11.853,14.783,17.876,14.053
02/20/23 10:25:00,12.054,14.852,18.325,14.152
02/20/23 10:40:00,12.301,14.952,18.753,14.286
02/20/23 10:55:00,12.560,15.060,19.279,14.420
02/20/23 11:10:00,12.862,15.211,19.827,14.589
02/20/23 11:25:00,13.184,15.390,20.479,14.765
02/20/23 11:40:00,13.508,15.567,21.054,14.948
02/20/23 11:55:00,13.843,15.742,21.600,15.136
02/20/23 12:10:00,14.177,15.927,22.114,15.315
02/20/23 12:25:00,14.499,16.092,22.610,15.508
02/20/23 12:40:00,14.849,16.292,23.268,15.660
02/20/23 12:55:00,15.212,16.512,23.829,15.871
02/20/23 13:10:00,15.576,16.726,24.273,16.067
02/20/23 13:25:00,15.931,16.923,24.585,16.256
02/20/23 13:40:00,16.278,17.113,24.930,16.411
02/20/23 13:55:00,16.618,17.296,25.186,16.548
02/20/23 14:10:00,16.930,17.466,25.339,16.688
02/20/23 14:25:00,17.237,17.611,25.519,16.798
02/20/23 14:40:00,17.540,17.764,25.551,16.915
02/20/23 14:55:00,17.837,17.926,25.471,17.043
02/20/23 15:10:00,18.111,18.065,25.310,17.137
02/20/23 15:25:00,18.369,18.197,24.962,17.222
02/20/23 15:40:00,18.611,18.316,24.474,17.305
02/20/23 15:55:00,18.827,18.421,23.737,17.364
02/20/23 16:10:00,19.025,18.515,22.982,17.413
02/20/23 16:25:00,19.204,18.597,22.155,17.458
02/20/23 16:40:00,19.352,18.666,21.398,17.479
02/20/23 16:55:00,19.476,18.735,20.652,17.519
02/20/23 17:10:00,19.578,18.788,20.141,17.532
02/20/23 17:25:00,19.665,18.849,20.123,17.562
02/20/23 17:40:00,19.722,18.880,19.683,17.553
02/20/23 17:55:00,19.740,18.880,18.699,17.543
02/20/23 18:10:00,19.719,18.854,17.763,17.534
02/20/23 18:25:00,19.680,18.842,16.893,17.580
02/20/23 18:40:00,19.628,18.840,16.528,17.470
02/20/23 18:55:00,19.563,18.851,16.363,17.381
02/20/23 19:10:00,19.494,18.875,16.426,17.376
02/20/23 19:25:00,19.399,18.882,16.427,17.333
02/20/23 19:40:00,19.273,18.867,16.415,17.284
02/20/23 19:55:00,19.135,18.849,16.397,17.241
02/20/23 20:10:00,19.001,18.827,16.309,17.213
02/20/23 20:25:00,18.854,18.802,16.134,17.171
02/20/23 20:40:00,18.713,18.781,15.962,17.135
02/20/23 20:55:00,18.555,18.742,15.757,17.077
02/20/23 21:10:00,18.394,18.698,15.551,17.018
02/20/23 21:25:00,18.241,18.659,15.352,16.966
02/20/23 21:40:00,18.094,18.622,15.220,16.927
02/20/23 21:55:00,17.937,18.570,14.985,16.880
02/20/23 22:10:00,17.779,18.527,14.807,16.826
02/20/23 22:25:00,17.626,18.475,14.596,16.762
02/20/23 22:40:00,17.469,18.418,14.391,16.708
02/20/23 22:55:00,17.312,18.359,14.086,16.644
02/20/23 23:10:00,17.149,18.290,13.817,16.573
02/20/23 23:25:00,16.988,18.227,13.529,16.515
02/20/23 23:40:00,16.829,18.160,13.278,16.464
02/20/23 23:55:00,16.638,18.048,12.891,16.339
02/21/23 00:10:00,16.436,17.938,12.592,16.232
02/21/23 00:25:00,16.290,17.892,12.437,16.199
02/21/23 00:40:00,16.135,17.831,12.329,16.152
02/21/23 00:55:00,15.979,17.760,12.187,16.099
02/21/23 01:10:00,15.809,17.681,11.959,16.035
02/21/23 01:25:00,15.646,17.599,11.687,15.971
02/21/23 01:40:00,15.475,17.516,11.548,15.897
02/21/23 01:55:00,15.305,17.425,11.466,15.818
02/21/23 02:10:00,15.133,17.341,11.330,15.745
02/21/23 02:25:00,14.955,17.245,11.174,15.676
02/21/23 02:40:00,14.771,17.138,10.841,15.612
02/21/23 02:55:00,14.583,17.024,10.276,15.517
02/21/23 03:10:00,14.394,16.906,9.820,15.388
02/21/23 03:25:00,14.207,16.793,9.575,15.294
02/21/23 03:40:00,14.033,16.686,9.540,15.215
02/21/23 03:55:00,13.853,16.580,9.497,15.137
02/21/23 04:10:00,13.670,16.467,9.412,15.036
02/21/23 04:25:00,13.487,16.348,9.287,14.928
02/21/23 04:40:00,13.332,16.260,9.172,14.852
02/21/23 04:55:00,13.174,16.153,9.103,14.762
02/21/23 05:10:00,13.004,16.044,9.030,14.674
02/21/23 05:25:00,12.847,15.940,8.877,14.586
02/21/23 05:40:00,12.680,15.831,8.723,14.489
02/21/23 05:55:00,12.512,15.712,8.447,14.319
02/21/23 06:10:00,12.351,15.600,8.252,14.220
02/21/23 06:25:00,12.214,15.508,8.272,14.159
02/21/23 06:40:00,12.090,15.429,8.395,14.149
02/21/23 06:55:00,11.981,15.370,8.954,14.207
02/21/23 07:10:00,11.889,15.323,9.881,14.321
02/21/23 07:25:00,11.798,15.257,10.841,14.291
02/21/23 07:40:00,11.713,15.193,11.674,14.241
02/21/23 07:55:00,11.657,15.142,12.443,14.226
02/21/23 08:10:00,11.634,15.108,13.204,14.235
02/21/23 08:25:00,11.642,15.082,13.930,14.252
02/21/23 08:40:00,11.678,15.066,14.607,14.279
02/21/23 08:55:00,11.736,15.054,15.248,14.309
02/21/23 09:10:00,11.822,15.058,15.931,14.351
02/21/23 09:25:00,11.933,15.078,16.601,14.411
02/21/23 09:40:00,12.074,15.116,17.216,14.490
