Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 12/06  03:00:00,-1.1375,-1.5878456952026683,-2.1944435190804008,4.132588748805053,-2.4472512539146704 
 12/06  04:00:00,-0.975,-1.5459184566357279,-2.166887813275146,4.048670812427579,-2.407399662035262 
 12/06  05:00:00,-1.025,-1.5662681139915034,-2.202568341324528,3.9325124280420757,-2.429623270816468 
 12/06  06:00:00,-1.1624999999999999,1.4041314937520587,-0.0324478798193909,4.01563180642749,-0.24882222074085304 
 12/06  07:00:00,-1.0125,6.235896354813482,3.406517444885538,5.236370317559612,3.3842199099963419 
 12/06  08:00:00,0.03749999999999998,16.225598511542374,9.854635842109749,6.432454256544679,10.575129949517866 
 12/06  09:00:00,1.5375,24.668599199912646,15.856757238872789,9.256151685153718,17.202982926078208 
 12/06  10:00:00,3.0375,30.144736716251108,20.374896159510234,11.006887424115773,21.83536694739897 
 12/06  11:00:00,4.6000000000000009,30.3311759679535,22.062049125460836,12.203479302285393,22.6526677915113 
 12/06  12:00:00,6.7625,25.206822752318176,19.161635835576189,11.709556176209512,19.12787221818683 
 12/06  13:00:00,7.45,21.622635168818886,16.43893477902047,10.926916371377617,16.296123883861708 
 12/06  14:00:00,7.487499999999999,22.108636773546928,16.908367873553777,10.908056667551517,16.323644273723475 
 12/06  15:00:00,8.85,16.446259339314879,13.441178395382263,10.121287872036259,13.153252577189715 
 12/06  16:00:00,8.4125,12.654095139447577,10.943016617050152,9.223444080170886,10.80805454117919 
 12/06  17:00:00,5.5125,7.464701710896591,6.6826845916073369,7.921535572077648,6.561878617722737 
 12/06  18:00:00,3.6375,3.6748835167392066,3.448467621506665,6.880541059172818,3.2982819703788337 
 12/06  19:00:00,3.3625,2.3698910199006129,2.2134032425324587,6.028437262911128,2.055002705955433 
 12/06  20:00:00,3.0875,1.911312919913822,1.6864376514189224,5.778869902769556,1.5260757388955387 
 12/06  21:00:00,2.65,1.3409261133694175,1.064861714238658,5.572145050309664,0.9050488638240496 
 12/06  22:00:00,2.0,0.7808256187179784,0.4134869097159593,5.339051992430225,0.2545392279750808 
 12/06  23:00:00,1.6375000000000002,0.5505716285005471,0.13787256748497413,5.166742892763073,-0.015114108664516145 
 12/06  24:00:00,1.225,0.2121709488948611,-0.22609142417932052,5.01056883265008,-0.3747488725038748 
 12/07  01:00:00,0.875,-0.2444294110260084,-0.7592044583620835,4.832962967270552,-0.9055066703861525 
 12/07  02:00:00,0.925,-0.3872783394277366,-0.9469201618176787,4.736002877365508,-1.0891860519063397 
 12/07  03:00:00,0.8125,-0.3606243435706922,-0.9299810071273142,4.637287728686367,-1.066282225432073 
 12/07  04:00:00,0.44999999999999998,-0.4032369544758222,-0.9713669908295479,4.488004270659789,-1.0995717205476537 
 12/07  05:00:00,0.175,-0.6162404323612603,-1.2087194337099286,4.332423656621444,-1.3309900080982736 
 12/07  06:00:00,0.35,4.916892694952033,2.8631224960667076,4.657081071923876,2.7782829200037328 
 12/07  07:00:00,1.0,10.561323596317575,7.245296833425458,6.062376361100073,7.207832367766934 
 12/07  08:00:00,2.05,17.59433593026459,12.152021556913408,7.288806888754987,12.38826366265561 
 12/07  09:00:00,3.3750000000000006,22.521923757890215,15.963022040547287,9.41746515350459,16.305748904924728 
 12/07  10:00:00,4.9624999999999999,26.33155002926122,18.67015116827843,10.609577181310858,19.139342339994188 
 12/07  11:00:00,7.0375,27.598233337140586,20.214227980034666,11.530070908608327,20.396954831405237 
 12/07  12:00:00,9.2125,26.556598578074224,20.03812929035346,11.808635585648183,19.967657217171383 
 12/07  13:00:00,10.375,26.43337983670338,20.325870490899498,12.000044082626774,20.09321193820842 
 12/07  14:00:00,11.350000000000002,23.386221316209324,18.71301266798083,11.69885191308046,18.51768356364444 
 12/07  15:00:00,10.1125,19.768358305979086,16.404856925821595,11.075016960790969,16.09775752033667 
 12/07  16:00:00,8.2875,10.617481723387784,9.656241399358266,9.38800097674009,9.498927776176132 
 12/07  17:00:00,6.4875,6.584134561228182,6.406853370255425,7.965549472712996,6.27050226042821 
 12/07  18:00:00,5.7,4.9309074723700549,4.9190431817173059,7.439849455928372,4.775336696771221 
 12/07  19:00:00,2.1375,2.593661686533512,2.622420932399743,6.347130558107121,2.476238225443518 
 12/07  20:00:00,-0.0625,0.18131776015099364,-0.062360231459103358,5.52373778993803,-0.21643349254658746 
 12/07  21:00:00,-0.16250000000000004,-0.42496795553590396,-0.7722347061846064,5.26370889610451,-0.9267382230734642 
 12/07  22:00:00,-0.2,-0.7268673891047702,-1.1683275311147357,5.12593230378002,-1.322317996911819 
 12/07  23:00:00,-0.1375,-0.7921823484628604,-1.2918196314727224,5.0445743672969549,-1.4428897342492367 
 12/07  24:00:00,-0.0375,-0.785620799560274,-1.3228070801300432,4.988166034303637,-1.4702018603195518 
 12/08  01:00:00,0.0,-0.7960795143890311,-1.3704446056905782,4.921425985777837,-1.5137867845892029 
 12/08  02:00:00,-0.125,-0.8866788101304803,-1.4920661211335629,4.816771075088795,-1.6309718916469805 
 12/08  03:00:00,-0.2,-1.0028965920337916,-1.645237011042828,4.699981584273603,-1.7795233431857474 
 12/08  04:00:00,-0.1375,-1.0333597140747993,-1.6979424501807863,4.603803483303375,-1.827247468199001 
 12/08  05:00:00,-0.1,-1.0383915121183054,-1.717253356717962,4.505828168107678,-1.8408892086761737 
 12/08  06:00:00,-0.16250000000000004,7.473727678728297,4.344141533247866,4.955334601007966,4.5359736188577319 
 12/08  07:00:00,-0.1375,13.903109519202936,8.464319346224406,6.460586689291038,9.325922388808366 
 12/08  08:00:00,0.5875,21.50331162038494,13.283689476363632,7.717125189502607,14.991013142886576 
 12/08  09:00:00,2.9374999999999997,28.512900592273185,18.755550415076934,10.471545631057725,20.778062339607155 
 12/08  10:00:00,6.4125,31.29880230006579,22.12836081611299,12.02234553948074,23.54437655377651 
 12/08  11:00:00,9.05,27.964816073357036,21.51617059818086,12.323143912056585,21.904946005737395 
 12/08  12:00:00,10.4875,22.160029109409977,18.07260269852455,11.558388389545798,18.06274695772471 
 12/08  13:00:00,9.0875,21.322058834855139,17.21999071230379,11.229882195710596,17.132375139250209 
 12/08  14:00:00,8.5625,13.084345952388631,11.302661297990609,9.909765314899552,11.214302940707679 
 12/08  15:00:00,8.3375,10.267118370327689,9.21797970218998,8.94119608572188,9.10739350134697 
 12/08  16:00:00,6.5,9.645536712402457,8.437468161910934,8.589990385815405,8.314011046471622 
 12/08  17:00:00,5.0375,6.096097463117757,5.507019984593211,7.734363861353685,5.3314585688887 
 12/08  18:00:00,5.0125,3.8508313082619565,3.6885944062755566,7.379776180312621,3.4835921858737088 
 12/08  19:00:00,4.7625,3.124709839758633,2.96736020916296,6.829700122612586,2.745058783046454 
 12/08  20:00:00,4.0,2.6826104914069268,2.5045397676342717,6.5650147617078329,2.2814223499717269 
 12/08  21:00:00,3.45,2.133364616606678,1.8785394156898066,6.355706730268283,1.6520519151363576 
