Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly),ATICO CEN:Zone Air System Sensible Heating Energy [J](Hourly),ATICO E:Zone Air System Sensible Heating Energy [J](Hourly),MODULO:Zone Air System Sensible Heating Energy [J](Hourly),ATICO O:Zone Air System Sensible Heating Energy [J](Hourly) 
 07/10  07:00:00,-8.1625,1.0693627531335904,-2.6788451750455946,12.299649653394284,-2.777520476555632,0.0,0.0,2286557.0825377407,0.0 
 07/10  08:00:00,-6.187500000000001,10.008647451225159,7.122069472562822,12.29980785777502,8.511560722162017,0.0,0.0,1828060.1654939575,0.0 
 07/10  09:00:00,-0.9249999999999999,20.975397600313984,16.69032015987449,12.298841790463973,19.37646299395357,0.0,0.0,1283032.7403669246,0.0 
 07/10  10:00:00,4.1499999999999999,27.33097871902856,23.442438013483789,12.298845076584075,27.068621325317979,0.0,0.0,804818.4964884413,0.0 
 07/10  11:00:00,6.800000000000001,28.83535188596206,27.79682013111487,12.299519080305333,30.523529218489917,0.0,0.0,393619.020884815,0.0 
 07/10  12:00:00,8.275000000000003,26.76960729225993,28.59937204755635,12.300551614913044,29.882086425969875,0.0,0.0,117732.46496674238,0.0 
 07/10  13:00:00,9.2375,23.63711320940684,27.190790295817039,12.300302369925833,27.423549962774965,0.0,0.0,0.0,0.0 
 07/10  14:00:00,10.3125,22.02224936187255,25.191829708790757,12.300233462734369,24.875245737753269,0.0,0.0,0.0,0.0 
 07/10  15:00:00,10.675,17.593997665581698,20.537927381785026,12.299999110494657,19.684325388035295,0.0,0.0,220440.53435735667,0.0 
 07/10  16:00:00,8.975,13.42170134269261,13.948146249295358,12.299998353904235,13.276070151773166,0.0,0.0,869437.0568285494,0.0 
 07/10  17:00:00,6.75,10.33475823327099,7.81497317743067,12.2999925139697,7.447141710749811,0.0,0.0,1469037.1358367876,0.0 
 07/10  18:00:00,4.4375,8.816878851596027,4.8490643794169199,12.299994576217767,4.575294929963806,0.0,0.0,1881787.3314296129,0.0 
 07/10  19:00:00,2.125,8.161699697297406,2.944892623765104,12.29999999992135,2.6736073665779975,0.0,0.0,2274196.1176222658,0.0 
 07/10  20:00:00,0.4875,6.898940643093781,1.4355453070034626,12.300000000000104,1.1587358392521923,0.0,0.0,2309542.371395789,0.0 
 07/10  21:00:00,-1.0,4.509030082164467,-0.11008602239438362,12.299958523418783,-0.4016066365185831,0.0,0.0,2115086.6241941235,0.0 
 07/10  22:00:00,-2.6624999999999998,2.087286098764366,-1.7952407369054758,12.299941558367533,-2.100563906930262,0.0,0.0,2034805.0617319532,0.0 
 07/10  23:00:00,-3.7375,1.7492252022634405,-2.93513465705853,12.299999999989585,-3.237312967264835,0.0,0.0,2190914.588388677,0.0 
 07/10  24:00:00,-4.3125,0.7346377682361287,-3.6107003127628647,12.299921096912536,-3.9064174329678518,0.0,0.0,2147486.4510710726,0.0 
 07/11  01:00:00,-4.5,0.15157771476477417,-4.116421264741947,12.29999999996112,-4.408701358184331,0.0,0.0,2151111.37716239,0.0 
 07/11  02:00:00,-4.5625,-0.17432548336044718,-4.408549749489165,12.30000000000018,-4.695057004562688,0.0,0.0,2146443.725138435,0.0 
 07/11  03:00:00,-5.35,-0.46164486388425476,-4.954398104058194,12.300000000000239,-5.235026856221809,0.0,0.0,2220733.017027485,0.0 
 07/11  04:00:00,-6.55,-1.0203699595490022,-5.713772848843158,12.300000000000221,-5.983253214469645,0.0,0.0,2293167.9088542249,0.0 
 07/11  05:00:00,-7.437499999999999,-1.5724179868202693,-6.609063329024593,12.30000000000018,-6.872570695259702,0.0,0.0,2403780.476191669,0.0 
 07/11  06:00:00,-8.0125,-2.027149324512976,-7.215301849621069,12.300000000000173,-7.4686453596966999,0.0,0.0,2482041.0958112694,0.0 
 07/11  07:00:00,-8.45,0.8405307792756784,-3.3235475772258726,12.299661552668598,-3.4068576111367285,0.0,0.0,2384955.342141142,0.0 
 07/11  08:00:00,-7.6625,9.332256332767696,6.012661721138552,12.299923752503375,7.556678544236849,0.0,0.0,1952353.2311897465,0.0 
 07/11  09:00:00,-2.7874999999999998,20.51985766685749,15.7613732041028,12.299334583695084,19.051104850712365,0.0,0.0,1366638.5655902145,0.0 
 07/11  10:00:00,2.2375,28.61656705806149,24.842214446553304,12.298570618118884,28.722446450859495,0.0,0.0,753684.8050098579,0.0 
 07/11  11:00:00,5.2625,29.60556147412327,28.282705760634135,12.30153456714948,31.3723081708179,0.0,0.0,422870.9886599799,0.0 
 07/11  12:00:00,6.8875,27.186096578671198,28.68129260121912,12.300398488117177,30.289085630631626,0.0,0.0,129401.47878250652,0.0 
 07/11  13:00:00,8.175,26.01096496311147,29.25799903855807,12.30057905671704,29.57330837796351,0.0,0.0,0.0,0.0 
 07/11  14:00:00,9.5125,24.554722734530349,28.109172545999763,12.301389684734876,27.745294743201535,0.0,0.0,0.0,0.0 
 07/11  15:00:00,10.125,21.509924889983929,24.138876132313468,12.300159623367304,22.80961225889044,0.0,0.0,8628.787961801158,0.0 
 07/11  16:00:00,9.700000000000001,17.085490227594453,17.745103822729104,12.299999391119283,15.941130914508524,0.0,0.0,360563.3326722304,0.0 
 07/11  17:00:00,8.15,11.321328515710352,9.835848228268054,12.299996032885824,9.017649705666062,0.0,0.0,1087568.2889292448,0.0 
 07/11  18:00:00,4.8375,8.672519047203965,5.236065362701501,12.299997905651768,4.86257152583844,0.0,0.0,1717005.9505741932,0.0 
 07/11  19:00:00,0.5499999999999999,4.153543317604548,1.455444216409424,12.300867338854186,1.1122588651561612,0.0,0.0,1792556.3861233586,0.0 
 07/11  20:00:00,-1.6625,2.0589730264547105,-1.1977751954678325,12.300751957694704,-1.5511570872463885,0.0,0.0,1999522.3372837613,0.0 
 07/11  21:00:00,-2.4375,1.22982213183162,-2.272772100263394,12.301082430367352,-2.620247733878804,0.0,0.0,2065250.351906471,0.0 
 07/11  22:00:00,-3.2,0.6511320070709733,-3.1131155745078917,12.300003997300069,-3.4574602705399064,0.0,0.0,2115950.4543048979,0.0 
 07/11  23:00:00,-5.25,-0.2297500434254956,-4.242442210511699,12.300400508587617,-4.577944333087442,0.0,0.0,2171916.4929875435,0.0 
 07/11  24:00:00,-7.2375,-1.2602729179491954,-5.803080205565711,12.30000000034362,-6.126604319300939,0.0,0.0,2297869.097516071,0.0 
 07/12  01:00:00,-8.612499999999999,-2.104259770587266,-6.933581152723539,12.3000000000002,-7.241247157064037,0.0,0.0,2378835.2694626187,0.0 
 07/12  02:00:00,-9.787499999999998,-2.625541819713619,-7.922588434296487,12.300000000000179,-8.21782668841219,0.0,0.0,2495979.4558359629,0.0 
 07/12  03:00:00,-10.45,-3.1101539289913404,-8.60365514836438,12.300000000000189,-8.884210920003732,0.0,0.0,2563656.5126187929,0.0 
 07/12  04:00:00,-11.350000000000002,-3.6168069443912795,-9.269603415986989,12.300000000000278,-9.537349230729003,0.0,0.0,2641732.916321635,0.0 
