date,To,Ig,RH,P,WS,WD
2023-04-07 18:00:00,4.2,0.0,48.0,29.807,6.0,67.5
2023-04-07 19:00:00,3.3,0.0,50.0,29.822,5.0,67.5
2023-04-07 20:00:00,2.4,0.0,50.0,29.845,2.0,67.5
2023-04-07 21:00:00,2.8,0.0,47.0,29.85,1.0,247.5
2023-04-07 22:00:00,0.1,0.0,55.0,29.85,1.0,315.0
2023-04-07 23:00:00,-0.9,0.0,54.0,29.86,3.0,337.5
2023-04-08 00:00:00,-1.9,0.0,62.0,29.848,4.0,337.5
2023-04-08 01:00:00,-2.9,0.0,73.0,29.829,2.0,315.0
2023-04-08 02:00:00,-1.7,0.0,65.0,29.814,3.0,337.5
2023-04-08 03:00:00,-3.0,0.0,71.0,29.822,2.0,337.5
2023-04-08 04:00:00,-3.6,0.0,78.0,29.832,2.0,292.5
2023-04-08 05:00:00,-2.7,8.0,80.0,29.86,3.0,292.5
2023-04-08 06:00:00,2.0,162.0,74.0,29.862,3.0,292.5
2023-04-08 07:00:00,4.6,292.0,68.0,29.85,4.0,247.5
2023-04-08 08:00:00,7.8,548.0,64.0,29.841,6.0,247.5
2023-04-08 09:00:00,9.3,597.0,63.0,29.824,6.0,202.5
2023-04-08 10:00:00,11.9,745.0,47.0,29.807,5.0,202.5
2023-04-08 11:00:00,12.3,933.0,35.0,29.802,3.0,202.5
2023-04-08 12:00:00,13.2,915.0,34.0,29.775,3.0,67.5
2023-04-08 13:00:00,14.4,856.0,30.0,29.734,3.0,67.5
2023-04-08 14:00:00,12.1,510.0,36.0,29.726,13.0,45.0
2023-04-08 15:00:00,10.4,341.0,42.0,29.732,18.0,45.0
2023-04-08 16:00:00,7.7,117.0,48.0,29.758,17.0,45.0
2023-04-08 17:00:00,5.4,5.0,50.0,29.823,10.0,45.0
2023-04-08 18:00:00,4.6,0.0,54.0,29.854,5.0,67.5
2023-04-08 19:00:00,3.4,0.0,55.0,29.905,3.0,67.5
2023-04-08 20:00:00,2.1,0.0,58.0,29.925,4.0,67.5
2023-04-08 21:00:00,1.8,0.0,58.0,29.919,2.0,67.5
2023-04-08 22:00:00,2.8,0.0,50.0,29.911,0.0,67.5
2023-04-08 23:00:00,2.3,0.0,51.0,29.889,0.0,67.5
2023-04-09 00:00:00,0.2,0.0,65.0,29.861,0.0,315.0
2023-04-09 01:00:00,1.4,0.0,54.0,29.841,1.0,337.5
