Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATICO CEN:Zone Mean Air Temperature [C](Hourly),ATICO E:Zone Mean Air Temperature [C](Hourly),MODULO:Zone Mean Air Temperature [C](Hourly),ATICO O:Zone Mean Air Temperature [C](Hourly) 
 10/12  22:00:00,-5.0,-3.9665136296227079,-3.917166497525892,3.9324223854984359,-4.29915306845928 
 10/12  23:00:00,-5.475,-5.054002495526957,-5.25513363646495,3.537261813935175,-5.634043720787792 
 10/12  24:00:00,-7.025,-5.985829359369538,-6.266705731166647,3.082814509357824,-6.628183366806885 
 10/13  01:00:00,-8.875,-7.20584560644862,-7.675783345957686,2.4741057455555128,-8.01365077973476 
 10/13  02:00:00,-10.837499999999999,-8.441222559234877,-9.002820580552744,1.8569805563950697,-9.316229443523751 
 10/13  03:00:00,-12.3875,-9.706551623908269,-10.44900789613545,1.2346165238384404,-10.745498713622843 
 10/13  04:00:00,-13.4875,-10.658062959017624,-11.513489964638915,0.7108524078220307,-11.791934028026143 
 10/13  05:00:00,-13.65,-11.322982381466897,-12.336006300914722,0.32280737408464157,-12.605603342364767 
 10/13  06:00:00,-14.4375,-5.427727921142684,-7.410469879374392,0.2386054218442672,-6.846617504163566 
 10/13  07:00:00,-12.250000000000002,8.05956046154109,3.380607748165483,2.981677535448811,5.553644269289351 
 10/13  08:00:00,-5.2875,24.489582494866697,17.061055485199785,5.389976589676303,20.753926300486449 
 10/13  09:00:00,0.9624999999999998,36.529823393116988,27.976415021800216,9.770092988268882,32.114473624967619 
 10/13  10:00:00,4.4875,40.22489461198475,33.31856137502758,11.8805624018803,36.32636002005027 
 10/13  11:00:00,6.562499999999999,39.70146774568426,35.32583549969944,13.343014685311978,36.85440390547188 
 10/13  12:00:00,8.325,37.45931376813938,35.83999208560078,14.291361496758567,36.014839368477939 
 10/13  13:00:00,9.75,37.775693259020467,36.004598926398958,14.711672463911029,35.20900842404161 
 10/13  14:00:00,10.575000000000001,38.45286890704322,35.66111297497901,14.698188848590038,33.025665538767558 
 10/13  15:00:00,10.3625,34.46898025769617,30.33218058099916,13.811583933197604,26.6588637556231 
 10/13  16:00:00,8.975,26.353250803744513,23.569540497472198,12.294945758772972,20.213361410915466 
 10/13  17:00:00,6.8625,12.089295102253452,11.630558682703875,9.609224916629636,10.284739567309469 
 10/13  18:00:00,3.8125,4.463804491137152,4.990573258940016,7.58042198453055,4.452278388564691 
 10/13  19:00:00,0.3750000000000001,1.0521173592163709,1.5654305407578733,5.572356505186342,1.1392102188395539 
 10/13  20:00:00,-1.775,-0.9775703613492626,-0.6368598686936746,4.594753710811486,-1.0327572543873505 
 10/13  21:00:00,-3.4875,-2.8382122036780785,-2.6066480233327797,3.8936381404974647,-2.997007893220227 
 10/13  22:00:00,-4.950000000000001,-4.415719116250705,-4.408839395462865,3.2957258367019679,-4.796359144937053 
 10/13  23:00:00,-6.5875,-5.633221673248115,-5.780862586865331,2.731190870730248,-6.151264713277044 
 10/13  24:00:00,-7.675000000000001,-6.666050430135517,-6.996675535782045,2.2553017747837087,-7.347721791674906 
 10/14  01:00:00,-9.275,-7.580276148266131,-8.03078882469703,1.7498414593557526,-8.357451304715518 
 10/14  02:00:00,-10.725,-8.669733882034639,-9.254055618772755,1.2044666426475886,-9.557908217733639 
 10/14  03:00:00,-10.725,-9.111917009139903,-9.854917159806739,0.895331826574426,-10.142021995616024 
 10/14  04:00:00,-11.500000000000002,-9.447558408261472,-10.223008859338945,0.5507245814921158,-10.48957190369428 
 10/14  05:00:00,-11.849999999999998,-9.93304629486649,-10.825603770637433,0.2010248385143556,-11.075363381672583 
 10/14  06:00:00,-10.825,-3.61829674531215,-5.37496657812391,0.4485538966617666,-4.926374344709352 
 10/14  07:00:00,-6.925000000000001,10.276014424259074,5.505626765594162,3.1971123253410385,7.422232304667779 
 10/14  08:00:00,-0.40000000000000016,24.23094098443024,16.69048061419017,5.370932426605954,19.499546970467617 
 10/14  09:00:00,4.6125,34.602497290125317,26.087299998024287,9.244952737556185,29.240951149440268 
 10/14  10:00:00,7.374999999999999,39.42012392326272,32.445865682077677,11.421242821881764,34.97795312260556 
 10/14  11:00:00,9.45,40.495997942940899,35.90464131000829,12.944192952648175,37.169436151859937 
 10/14  12:00:00,11.5125,38.686079241963408,36.33314475442384,13.910117531901069,36.47775670703248 
 10/14  13:00:00,13.1125,37.832522975045879,35.13369297264944,14.097565570804344,34.58931179664999 
 10/14  14:00:00,13.6,37.55890918563726,35.06309624396984,13.932015906115482,33.432233262587619 
 10/14  15:00:00,13.85,34.35471172780562,31.875105121242507,13.382809993396436,29.1455996196226 
 10/14  16:00:00,13.125000000000002,22.65197281980171,21.062896201100153,11.502644686569383,19.407900089324547 
 10/14  17:00:00,10.35,12.093066086856244,12.124411675661563,9.275160691564447,11.546033711019373 
 10/14  18:00:00,6.6875,6.267007822256579,6.918189889238735,7.597392350741904,6.591079595853516 
 10/14  19:00:00,4.425,3.5937995019551778,4.198874734142811,6.300991422564962,3.8984939194750085 
 10/14  20:00:00,3.1500000000000005,2.364535141114015,2.8814897891302464,5.642881875042777,2.5939724857328265 
 10/14  21:00:00,1.8875000000000002,0.7618955899816003,1.1521062791292254,5.145861668068274,0.8644514301442281 
 10/14  22:00:00,1.15,-0.4228318287581363,-0.20524379788859849,4.783363689035536,-0.4912720754825378 
 10/14  23:00:00,0.3125,-1.0857953723602588,-1.0097908791335786,4.487123075351955,-1.2845977582298137 
 10/14  24:00:00,-0.7874999999999999,-1.856661379861294,-1.8769751272048443,4.156243664102984,-2.1370212011896685 
 10/15  01:00:00,-2.95,-3.0992843107863927,-3.227544290029151,3.6270838555776439,-3.473255538125552 
 10/15  02:00:00,-4.0625,-4.193288226671713,-4.494381876663575,3.180457736973205,-4.726282603007789 
 10/15  03:00:00,-4.0375,-4.486285396740824,-4.926704893119619,2.9934966382125318,-5.150775725471072 
 10/15  04:00:00,-3.8125,-4.275303484855652,-4.772608758710445,2.8993895559037234,-4.985826899952011 
 10/15  05:00:00,-4.762500000000001,-4.456253286560634,-4.947148100231111,2.6442223805899927,-5.144628084770823 
 10/15  06:00:00,-6.025,1.0446772393558912,-0.22494411500910295,2.595688414073352,0.18698222287515565 
 10/15  07:00:00,-3.9000000000000005,13.614159914889042,9.513489791020814,4.836612322929714,11.218964411475668 
 10/15  08:00:00,1.2875,25.83170491981297,18.96804866531985,6.845325891404389,21.652565893159694 
 10/15  09:00:00,5.5625,35.35393861078731,28.418525165487624,10.54113719445694,31.102210841943646 
 10/15  10:00:00,8.549999999999999,39.4820398680207,33.49005978736618,12.466756309788169,35.59303536033488 
 10/15  11:00:00,10.912499999999998,38.922448767487889,34.55151285142014,13.626611007659659,35.48920209244345 
 10/15  12:00:00,12.6375,38.5922165150735,36.373154996808789,14.223010616561915,36.45716575076349 
 10/15  13:00:00,13.325,35.28843507403127,33.16148046257182,13.964473796063349,32.94256842124513 
 10/15  14:00:00,13.4625,34.88453881835713,32.9072716438945,13.932770953014139,31.70349745391502 
 10/15  15:00:00,12.625000000000002,32.040762833785269,29.83497987055232,13.60116855161589,27.389249748269216 
 10/15  16:00:00,11.600000000000002,22.579016272019737,21.21879109560522,12.094086273998878,19.356855806138534 
 10/15  17:00:00,9.8,11.61660944150743,11.72227282544382,9.950120645720773,11.16306624711333 
 10/15  18:00:00,7.0875,6.617923690610584,7.345164255440784,8.485000622919568,7.027394331801796 
 10/15  19:00:00,4.0,3.6962909052828065,4.342442689820454,7.006765274345781,4.0397024907620679 
 10/15  20:00:00,1.675,1.384770765908028,1.9101248879488915,6.169404375105203,1.6092941637696019 
 10/15  21:00:00,1.0,-0.2915252199788418,-0.029041557511032984,5.691676523775023,-0.34695192969578167 
 10/15  22:00:00,0.18749999999999995,-0.8105408888689879,-0.6677114897622749,5.377177289693435,-0.9724287920591546 
 10/15  23:00:00,-0.9874999999999999,-1.4806768720182564,-1.4801667941171602,5.014740437258379,-1.7664861516154605 
 10/15  24:00:00,-2.5250000000000005,-2.337029646564149,-2.4315318681513364,4.597626491904272,-2.6991281889797085 
 10/16  01:00:00,-3.7,-3.3664038940726668,-3.6028285724238704,4.181592893856651,-3.858511982074053 
 10/16  02:00:00,-4.25,-4.047651968073024,-4.432046724835105,3.87866047431811,-4.678657218382597 
 10/16  03:00:00,-5.0875,-4.502645231045315,-4.980264026777407,3.5562869159431829,-5.211881604111376 
 10/16  04:00:00,-5.312499999999999,-4.7783496775079279,-5.343281156128276,3.310679073870033,-5.559871282772813 
 10/16  05:00:00,-6.1375,-5.174203551026532,-5.774325309536264,3.0092725830170776,-5.9790614870013469 
 10/16  06:00:00,-6.7,0.5200658021337485,-0.7101057922649812,3.0450803621980326,-0.42099610197895856 
 10/16  07:00:00,-4.1375,13.764623191548099,10.25750632718823,5.497456323690129,11.72565828423496 
 10/16  08:00:00,0.8999999999999999,27.9222679170495,21.704971278221579,7.6885408146939249,24.700703788799986 
 10/16  09:00:00,5.875,36.46670111457597,30.39969667407898,11.406354417571187,32.89383335509167 
 10/16  10:00:00,9.0375,39.75730472763422,34.923005159824167,13.166642130251537,36.48771279462665 
 10/16  11:00:00,10.525,40.16609059146961,36.93755932066057,14.163899730416424,37.52336597206309 
 10/16  12:00:00,11.8375,40.745732777617238,39.263942666593077,15.107975907943791,39.276703048038829 
 10/16  13:00:00,12.962500000000003,39.320483717685139,37.32541243301849,15.641605249286016,36.68321399485928 
 10/16  14:00:00,13.4875,36.093733981713558,32.978457968453948,15.387880980919526,31.10904093394965 
 10/16  15:00:00,12.9125,31.346462752969804,28.214197975724319,14.450170673411066,25.59177831966744 
 10/16  16:00:00,11.125,20.3249499250466,18.928454347435229,12.483412613846486,17.49624609075678 
 10/16  17:00:00,8.675,10.51930237086246,10.78169839478734,10.247358221846197,10.29301861215144 
 10/16  18:00:00,5.7,5.935872566389287,6.613760013318167,8.843944802172281,6.252889458790447 
 10/16  19:00:00,3.3125,3.286955041605142,3.886765982099,7.339232561067796,3.5255317391679545 
